FiledAgainst,Component_Revised
_CoC/DSM (DEM),DSM
_CoC/Innovation activities/Inno - Democar,NA
_CoC/ISW/DCOM,DCOM
_CoC/ISW/DCOM/DCOM_Cob,DCOM
_CoC/ISW/DCOM/DCOM_Dy,DCOM
_CoC/ISW/DSM (DEM),DSM
_CoC/ISW/DSM [FNID0079],DSM
_CoC/ISW/DSM [FNID0079]/DSM_BGSV,DSM
_CoC/ISW/DSM [FNID0079]/DSM_Cob,DSM
_CoC/ISW/HMI - Human Machine Interface,NET
_CoC/ISW/HMI - Human Machine Interface/HMI_Ban,NET
_CoC/ISW/HMI - Human Machine Interface/HMI_Cob,NET
_CoC/ISW/NET [FNID0027],NET
_CoC/ISW/NET [FNID0027]/NET_Cob,NET
_CoC/ISW/NET [FNID0027]/NET_Dy,NET
_CoC/ISW/OBD,DSM
_CoC/ISW/VAR_archived,NET
_CoC/ISW/VAR_REN,NET
_CoC/ISW/VAR_STLA,NET
Any Product/System Services/DCOM,DCOM
Any Product/System Services/DSM - System Modes,DSM
Any Product/System Services/HMI - Human Machine Interface,NET
Any Product/System Services/NET - Network Communication,NET
Any Product/System Services/NM - Network Management,NET
Any Product/System Services/VAR - Variant Coding and Variant Handling,NET
Application/Application fASW Body Control and Pedal HMI,NA
Application/Application pASW Pedal HMI,NA
BSW Diag And Network Comm,NA
BSW Diag And Network Comm/CBDS,DSM
BSW Diag And Network Comm/CUS,NA
BSW Diag And Network Comm/DCOM,DCOM
BSW Diag And Network Comm/DSM,DSM
BSW Diag And Network Comm/HMI,DSM
BSW Diag And Network Comm/NET,NET
BSW Diag And Network Comm/OBD,DSM
BSW Diag And Network Comm/RTE,NET
BSW Diag And Network Comm/Test - Basetech -1,NA
BSW Diag And Network Comm/Test Execution BSW -1,NA
BSW Diag And Network Comm/VAR,NET
BWA/BWA DCOM,DCOM
BWA/BWA DEM,DSM
BWA/BWA NET,NET
BWA/BWA_BSW/BWA_DCOM,DCOM
BWA/BWA_BSW/BWA_DSM,DSM
BWA/BWA_BSW/BWA_HMI - VAR,NET
BWA/BWA_BSW/BWA_NET,NET
BWA/BWA_BSW/BWA_OBD,DSM
BWA/BWA_CSW_DEMOCAR,NA
Capa/PM - Project Management_capa/PM - FC DSM_capa,DSM
CM-Config management/DEM,DSM
CMP2.0/CMP2.0-DEM,DSM
CMP3.0_BSW_DCOM,DCOM
CMP3.0_BSW_DEM,DSM
CMP3.0_BSW_NET,NET
CMP3.1_BSW_NET,NET
Customer_Specific/FOTA,NET
DCOM,DCOM
DCOM_ESP10,DCOM
DCOM_LA,DCOM
DEM,DSM
DEM - System Modes,DSM
DEM_ESP10_LA,DSM
DPB/DPB NET,NET
DSM,DSM
Env/CompSIM/DCOMSIM,DCOM
Env/CompSIM/DSMSIM,DSM
Env/CompSIM/NETSIM,NET
ES1 CMP/DCOM,DCOM
ES1 CMP/NET,NET
ES1 CMP/VAR,NET
ESP/ESP_ASW_DEMOCAR,NA
ESP/ESP_BSW/ESP_DCOM,DCOM
ESP/ESP_BSW/ESP_DSM,DSM
ESP/ESP_BSW/ESP_HMI - VAR,NET
ESP/ESP_BSW/ESP_NET,NET
ESP/ESP_BSW/ESP_OBD,DSM
ESP/ESP_BSW_DEMOCAR,NA
ESP/ESP_CSW_DEMOCAR,NA
ESP10/ESP10 DCOM,DCOM
ESP10/ESP10 DEM,DSM
ESP10/ESP10 NET,NET
ESP10/PSW/DCOM - Customer Diagnosis,DCOM
ESP10/PSW/DSM - Diagnostics System Management,DSM
ESP10/PSW/HMI - Human Machine Interface,NET
ESP10/PSW/NET - Network Communication,NET
ESP10/PSW/NM - Network Management,NET
ESP10/PSW/SFD - Protected Vehicle Diagnosis,NA
ESP10/PSW/VAR - Variant Management,NET
ESP9.3/ESP93 DCOM,DCOM
ESP9.3/ESP93 DEM,DSM
ESP9.3/ESP93 DWS,DSM
ESP9.3/ESP93 NET,NET
fASW/Pedal HMI (fASW),NA
FHI_iBooster_CMP/DCOM,DCOM
FHI_iBooster_CMP/DEM,DSM
FHI_iBooster_CMP/NET,NET
Functions And Services/DCOM,DCOM
Functions And Services/DCOM/DCOM_BGSV,DCOM
Functions And Services/DSM (DEM) - Diagnosis and System Management,DSM
Functions And Services/DSM (DEM) - Diagnosis and System Management/DSM_BGSV,DSM
Functions And Services/NET,NET
Functions And Services/NET/NET_BGSV,NET
Generic_Topics/FT1_G9.3_ESP/FT1_G9.3_ESP_DCOM,DCOM
Generic_Topics/FT1_G9.3_ESP/FT1_G9.3_ESP_DEM,DSM
