Id,PM Interface Element ID,Total Effort (Hours),Rework Effort (Hours)
5251100,BM-00091219_009 | 12962080 | P736_Timeline_Release_PMint | 1501354 | 2.1.9.1,0,0
5230060,BM-00103425_027 | 13252721 | U725_MY26_Plan | 1510332 | 2.1.9.1,0,0
5219454, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
5212849, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
5180468, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
5162399,BM-00081137_009 | 12590897 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
5135626,BM-00101235_010 | 12969754 | MY26_baseline | 1502593 | 2.1.9.1,0,0
5120211,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
5119950,BM-00103221_009 | 12865695 | P702 MY26 Timeline PMINT | 1500412 | 2.1.9.1,0,0
5119925,BM-00081137_009 | 12497920 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
5114876, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
5114451,BM-00061099_005 | 12523509 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
5091353,,0,0
5064253, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
5026538,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
5011600, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
5011546, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
5009526,,0,0
5004377,BM-00061099_005 | 12257406 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
4979326,,0,0
4962288,BM-00061099_005 | 12203554 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
4951101,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
4946677,BM-00081137_009 | 12190852 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4942383,BM-00080593_009 | 12188092 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4942355,BM-00096778_004 | 12069156 | Ford_V710_eAWD_Release Plan | 1475198 | 2.1.9.1,0,0
