Id,PM Interface Element ID,NET_Total (Hours),DCOM_Total (Hours),DEM_Total (Hours),NET_Rework (Hours),DCOM_Rework (Hours),DEM_Rework (Hours)
6932046, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0.52,0.0,0.0,0.0,0.0,0.0
6701983,| 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0.0,0.0,0.0,0.0,0.0,0.0
6667389,BM-00094172_015 | 15152941 | Ford_ICA3_SW_Baseline_2026 | 1559776 | 2.1.9.1,4.0,0.0,0.0,0.0,0.0,0.0
6659467, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,1.5,0.0,14.5,0.0,6.0,0.0
6211015, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,7.2,0.0,0.0,0.0,0.0,0.0
6210982,BM-00103425_027 | 13252733 | U725_MY26_Plan | 1510332 | 2.1.9.1,27.7,43.0,0.0,0.0,0.0,0.0
6195643,BM-00103425_027 | 13252733 | U725_MY26_Plan | 1510332 | 2.1.9.1,6.8,0.0,7.0,0.0,11.0,55.0
6172585,BM-00102067_016 | 13226162 | B2OPD_R18.5.2.7SW | 1509409 | 2.1.9.1,37.5,17.0,6.5,0.0,0.0,0.0
6044588,BM-00105045_009 | 14453007 | P702_MY27_SW_Timeline | 1510023 | 2.1.9.1,6.5,0.0,1.0,16.75,0.0,38.5
6044570,BM-00105045_009 | 14453005 | P702_MY27_SW_Timeline | 1510023 | 2.1.9.1,115.5,1097.28,375.45,0.0,0.0,36.0
5938012,BM-00105045_009 | 14362293 | P702_MY27_SW_Timeline | 1510023 | 2.1.9.1,5.0,0.0,0.0,33.75,56.0,0.0
5938010,BM-00105045_009 | 14362292 | P702_MY27_SW_Timeline | 1510023 | 2.1.9.1,180.0,56.5,89.5,0.0,157.84,0.0
5938008,BM-00105045_009 | 14362291 | P702_MY27_SW_Timeline | 1510023 | 2.1.9.1,168.5,216.84,30.0,60.5,257.17,275.0
